Coordinate,κ,β₀,%Z <= -2.326,%Z <= -1.645,%Z <= -1.282,%Z <= -0.674,%Z <= 0.0,%Z <= 0.674,%Z <= 1.282,%Z <= 1.645,%Z <= 2.326
null,0.2,0.5,0.0074,0.0486,0.0946,0.2474,0.4868,0.742,0.8944,0.948,0.9884
non-null,0.2,0.5,0.0074,0.047,0.0918,0.2448,0.488,0.7438,0.9002,0.9516,0.9908
null,0.2,1.0,0.0112,0.054,0.101,0.2428,0.498,0.748,0.8908,0.9486,0.9896
non-null,0.2,1.0,0.0122,0.0532,0.1014,0.2562,0.5066,0.7548,0.9034,0.9474,0.9896
null,0.2,1.5,0.0098,0.0514,0.1044,0.2536,0.5058,0.7592,0.9,0.9486,0.9918
non-null,0.2,1.5,0.0098,0.0496,0.1034,0.249,0.4936,0.7368,0.8994,0.9492,0.9868
null,0.2,2.0,0.009,0.0488,0.099,0.2434,0.4944,0.7424,0.896,0.9472,0.9886
non-null,0.2,2.0,0.0102,0.0504,0.0986,0.248,0.508,0.7466,0.8998,0.9504,0.9882
null,0.2,2.5,0.0132,0.0478,0.0978,0.2488,0.5016,0.7476,0.902,0.9516,0.9916
non-null,0.2,2.5,0.0098,0.0468,0.0954,0.2376,0.4908,0.7474,0.8968,0.9542,0.9906
null,0.4,0.5,0.0112,0.0566,0.1102,0.265,0.516,0.7638,0.9068,0.9502,0.9888
non-null,0.4,0.5,0.0094,0.053,0.1016,0.2556,0.505,0.763,0.9104,0.955,0.9924
null,0.4,1.0,0.0108,0.0504,0.099,0.2474,0.498,0.76,0.904,0.9516,0.991
non-null,0.4,1.0,0.0098,0.051,0.1024,0.2584,0.5078,0.749,0.8994,0.9522,0.9886
null,0.4,1.5,0.0088,0.048,0.1056,0.2504,0.5028,0.752,0.8988,0.9462,0.9876
non-null,0.4,1.5,0.0096,0.0512,0.1076,0.2556,0.498,0.7518,0.8992,0.9498,0.9906
null,0.4,2.0,0.0088,0.0474,0.0982,0.252,0.5068,0.7464,0.8976,0.9484,0.9888
non-null,0.4,2.0,0.0098,0.0486,0.0984,0.253,0.4966,0.7426,0.897,0.9498,0.9898
null,0.4,2.5,0.011,0.0528,0.0974,0.25,0.501,0.7602,0.899,0.9532,0.9912
non-null,0.4,2.5,0.0082,0.0454,0.096,0.2506,0.5092,0.7592,0.897,0.9484,0.9892
null,0.6,0.5,0.0098,0.0488,0.104,0.2462,0.4912,0.745,0.8972,0.95,0.9896
non-null,0.6,0.5,0.0086,0.0532,0.1022,0.2574,0.5094,0.7578,0.9034,0.9498,0.9892
null,0.6,1.0,0.0098,0.0524,0.1046,0.253,0.4946,0.7508,0.9038,0.9484,0.9918
non-null,0.6,1.0,0.0098,0.0514,0.099,0.2512,0.51,0.7564,0.9068,0.9522,0.9904
null,0.6,1.5,0.0106,0.0506,0.1048,0.2526,0.4994,0.7572,0.9058,0.9556,0.9902
non-null,0.6,1.5,0.0084,0.0516,0.1022,0.2504,0.5004,0.7502,0.8986,0.9528,0.9882
null,0.6,2.0,0.0084,0.0488,0.1038,0.2508,0.4988,0.752,0.9048,0.9532,0.987
non-null,0.6,2.0,0.01,0.0458,0.0916,0.2492,0.5,0.7454,0.9,0.9544,0.9908
null,0.6,2.5,0.009,0.0496,0.1008,0.2528,0.5028,0.749,0.9016,0.951,0.9888
non-null,0.6,2.5,0.009,0.0514,0.0976,0.2498,0.5074,0.7482,0.902,0.9524,0.9922
null,0.8,0.5,0.0102,0.052,0.099,0.254,0.4902,0.7446,0.896,0.9488,0.9896
non-null,0.8,0.5,0.0118,0.0478,0.0922,0.2386,0.4844,0.7404,0.8974,0.9514,0.9906
null,0.8,1.0,0.0104,0.0486,0.102,0.2522,0.4962,0.742,0.9004,0.9514,0.9894
non-null,0.8,1.0,0.011,0.0554,0.1048,0.2506,0.5018,0.7498,0.8988,0.9484,0.9896
null,0.8,1.5,0.0094,0.0488,0.1036,0.2624,0.507,0.7508,0.898,0.9528,0.9882
non-null,0.8,1.5,0.0112,0.0524,0.097,0.2484,0.5,0.7584,0.9062,0.952,0.9906
null,0.8,2.0,0.0126,0.0508,0.0952,0.2468,0.5014,0.7556,0.9004,0.949,0.9898
non-null,0.8,2.0,0.01,0.0484,0.1004,0.255,0.5056,0.7466,0.8964,0.9498,0.9892
null,0.8,2.5,0.0124,0.0534,0.104,0.2502,0.4948,0.753,0.9086,0.956,0.9908
non-null,0.8,2.5,0.0084,0.0434,0.096,0.252,0.4994,0.7494,0.8976,0.9474,0.9922
