κ,β₀,%LLR <= 2.558,%LLR <= 3.94,%LLR <= 4.865,%LLR <= 6.737,%LLR <= 9.342,%LLR <= 12.549,%LLR <= 15.987,%LLR <= 18.307,%LLR <= 23.209
0.2,0.5,0.0098,0.0498,0.1014,0.2534,0.4822,0.7402,0.9016,0.9522,0.991
0.2,1.0,0.0096,0.0508,0.0956,0.246,0.5054,0.7544,0.9016,0.9528,0.9916
0.2,1.5,0.009,0.0504,0.101,0.2494,0.491,0.745,0.8932,0.9492,0.993
0.2,2.0,0.0104,0.0534,0.101,0.2408,0.4972,0.7508,0.9026,0.9442,0.9908
0.2,2.5,0.0096,0.0438,0.1,0.2458,0.5018,0.753,0.9006,0.951,0.988
0.4,0.5,0.0118,0.0498,0.1014,0.2558,0.506,0.7488,0.8976,0.9526,0.9904
0.4,1.0,0.0108,0.0524,0.1046,0.2482,0.4988,0.7526,0.9028,0.9522,0.9906
0.4,1.5,0.0124,0.0524,0.0994,0.246,0.4862,0.7454,0.8928,0.9444,0.9882
0.4,2.0,0.0104,0.051,0.102,0.2484,0.5054,0.763,0.9016,0.9522,0.9924
0.4,2.5,0.0086,0.0486,0.105,0.2612,0.5096,0.753,0.8978,0.9516,0.991
0.6,0.5,0.009,0.0456,0.1004,0.2452,0.4958,0.7516,0.9046,0.9548,0.9904
0.6,1.0,0.0086,0.0448,0.092,0.2336,0.4902,0.7446,0.8958,0.9472,0.9894
0.6,1.5,0.0104,0.0542,0.099,0.2462,0.5066,0.7492,0.8996,0.9478,0.9898
0.6,2.0,0.0114,0.0508,0.1044,0.2572,0.495,0.7468,0.9012,0.951,0.9894
0.6,2.5,0.0104,0.0506,0.1056,0.2566,0.5082,0.7452,0.8976,0.946,0.9896
0.8,0.5,0.0098,0.0504,0.1018,0.2528,0.5126,0.7532,0.8984,0.9528,0.9898
0.8,1.0,0.0084,0.0534,0.1046,0.2478,0.5044,0.7498,0.8998,0.9494,0.9902
0.8,1.5,0.01,0.0538,0.1072,0.2546,0.5032,0.747,0.8996,0.9476,0.9894
0.8,2.0,0.0094,0.0514,0.1016,0.2572,0.5068,0.7554,0.9068,0.9538,0.99
0.8,2.5,0.0086,0.0506,0.0962,0.2446,0.4966,0.7484,0.901,0.9512,0.9886
